% Data for Quantum Simulator Scalability
% xlabel: Number of Qubits, ylabel: Time (seconds)

x y yerr
2 0.0029733799980022012 0.0006062802730314866
2 0.0061859999899752435 0.0002607449955179256
2 0.012658040004316718 0.0005941955851449049
3 0.008722420013509691 0.0008608299219685234
3 0.02122685998911038 0.0006984563403108744
3 0.04170091999694705 0.0014725926290768848
4 0.02973714000545442 0.0007246359728301519
4 0.07268523998791351 0.00032840326889531986
4 0.15529586001066492 0.004526453265918014
5 0.11526499999454246 0.002717578162968952
5 0.28350524000125005 0.009732472826268102
